epoch,utc,lat,lng,alt_m,speed2d_ms,speed3d_ms,fix,dop,payload
1784771405480,2026-07-23T01:50:05.480Z,-23.6052650,-46.8362063,831.099,0.012,0.040,3,120,0
1784771405607,2026-07-23T01:50:05.607Z,-23.6052649,-46.8362063,831.103,0.031,0.010,3,120,0
1784771405734,2026-07-23T01:50:05.734Z,-23.6052649,-46.8362062,831.117,0.028,0.030,3,120,0
1784771405862,2026-07-23T01:50:05.862Z,-23.6052649,-46.8362062,831.125,0.026,0.030,3,120,0
1784771405989,2026-07-23T01:50:05.989Z,-23.6052649,-46.8362062,831.120,0.005,0.030,3,120,0
1784771406116,2026-07-23T01:50:06.116Z,-23.6052649,-46.8362062,831.114,0.013,0.010,3,120,0
1784771406244,2026-07-23T01:50:06.244Z,-23.6052649,-46.8362061,831.117,0.043,0.010,3,120,0
1784771406371,2026-07-23T01:50:06.371Z,-23.6052649,-46.8362060,831.122,0.130,0.040,3,120,0
1784771406498,2026-07-23T01:50:06.498Z,-23.6052651,-46.8362058,831.113,0.282,0.130,3,120,0
1784771406626,2026-07-23T01:50:06.626Z,-23.6052651,-46.8362055,831.120,0.346,0.280,3,120,0
1784771406753,2026-07-23T01:50:06.753Z,-23.6052652,-46.8362054,831.129,0.384,0.350,3,120,0
1784771406881,2026-07-23T01:50:06.881Z,-23.6052653,-46.8362051,831.125,0.462,0.380,3,120,0
1784771407008,2026-07-23T01:50:07.008Z,-23.6052655,-46.8362049,831.118,0.456,0.460,3,120,0
1784771407135,2026-07-23T01:50:07.135Z,-23.6052658,-46.8362049,831.118,0.503,0.460,3,120,0
1784771407263,2026-07-23T01:50:07.263Z,-23.6052661,-46.8362050,831.120,0.506,0.500,3,120,0
1784771407390,2026-07-23T01:50:07.390Z,-23.6052664,-46.8362050,831.127,0.559,0.510,3,120,0
1784771407517,2026-07-23T01:50:07.517Z,-23.6052667,-46.8362049,831.127,0.596,0.560,3,120,0
1784771407645,2026-07-23T01:50:07.645Z,-23.6052669,-46.8362050,831.148,0.559,0.600,3,120,0
1784771407772,2026-07-23T01:50:07.772Z,-23.6052670,-46.8362051,831.165,0.398,0.560,3,120,0
1784771407900,2026-07-23T01:50:07.900Z,-23.6052669,-46.8362051,831.163,0.153,0.400,3,120,1
1784771407966,2026-07-23T01:50:07.966Z,-23.6052668,-46.8362051,831.130,0.115,0.160,3,120,1
1784771408032,2026-07-23T01:50:08.032Z,-23.6052667,-46.8362049,831.126,0.137,0.120,3,120,1
1784771408098,2026-07-23T01:50:08.098Z,-23.6052665,-46.8362048,831.132,0.249,0.140,3,120,1
1784771408164,2026-07-23T01:50:08.164Z,-23.6052662,-46.8362047,831.140,0.464,0.250,3,120,1
1784771408230,2026-07-23T01:50:08.230Z,-23.6052657,-46.8362047,831.152,0.679,0.460,3,120,1
1784771408296,2026-07-23T01:50:08.296Z,-23.6052652,-46.8362047,831.149,0.813,0.680,3,120,1
1784771408362,2026-07-23T01:50:08.362Z,-23.6052649,-46.8362047,831.142,0.739,0.810,3,120,1
1784771408428,2026-07-23T01:50:08.428Z,-23.6052645,-46.8362046,831.143,0.728,0.740,3,120,1
1784771408494,2026-07-23T01:50:08.494Z,-23.6052643,-46.8362045,831.157,0.669,0.730,3,120,1
1784771408560,2026-07-23T01:50:08.560Z,-23.6052639,-46.8362048,831.152,0.452,0.670,3,120,1
1784771408626,2026-07-23T01:50:08.626Z,-23.6052640,-46.8362050,831.149,0.326,0.450,3,120,1
1784771408692,2026-07-23T01:50:08.692Z,-23.6052639,-46.8362050,831.145,0.279,0.330,3,120,1
1784771408758,2026-07-23T01:50:08.758Z,-23.6052636,-46.8362049,831.148,0.331,0.280,3,120,1
1784771408824,2026-07-23T01:50:08.824Z,-23.6052633,-46.8362048,831.126,0.410,0.330,3,120,1
1784771408890,2026-07-23T01:50:08.890Z,-23.6052633,-46.8362049,831.133,0.294,0.410,3,120,2
1784771408945,2026-07-23T01:50:08.945Z,-23.6052634,-46.8362050,831.136,0.155,0.290,3,120,2
1784771409000,2026-07-23T01:50:09.000Z,-23.6052635,-46.8362049,831.138,0.032,0.150,3,120,2
1784771409055,2026-07-23T01:50:09.055Z,-23.6052635,-46.8362049,831.132,0.047,0.030,3,120,2
1784771409110,2026-07-23T01:50:09.110Z,-23.6052637,-46.8362049,831.128,0.153,0.050,3,120,2
1784771409165,2026-07-23T01:50:09.165Z,-23.6052641,-46.8362048,831.126,0.351,0.150,3,120,2
1784771409220,2026-07-23T01:50:09.220Z,-23.6052647,-46.8362046,831.122,0.693,0.350,3,120,2
1784771409275,2026-07-23T01:50:09.275Z,-23.6052656,-46.8362044,831.120,1.097,0.690,3,120,2
1784771409330,2026-07-23T01:50:09.330Z,-23.6052665,-46.8362044,831.135,1.279,1.100,3,120,2
1784771409385,2026-07-23T01:50:09.385Z,-23.6052673,-46.8362046,831.127,1.445,1.280,3,120,2
1784771409440,2026-07-23T01:50:09.440Z,-23.6052680,-46.8362052,831.155,1.447,1.450,3,120,2
1784771409495,2026-07-23T01:50:09.495Z,-23.6052684,-46.8362058,831.185,1.337,1.450,3,120,2
1784771409550,2026-07-23T01:50:09.550Z,-23.6052685,-46.8362061,831.222,1.033,1.340,3,120,2
1784771409605,2026-07-23T01:50:09.605Z,-23.6052684,-46.8362061,831.240,0.656,1.030,3,120,2
1784771409660,2026-07-23T01:50:09.660Z,-23.6052682,-46.8362060,831.258,0.317,0.660,3,120,2
1784771409715,2026-07-23T01:50:09.715Z,-23.6052681,-46.8362059,831.282,0.190,0.330,3,120,2
1784771409770,2026-07-23T01:50:09.770Z,-23.6052680,-46.8362057,831.282,0.106,0.210,3,120,2
1784771409825,2026-07-23T01:50:09.825Z,-23.6052678,-46.8362058,831.279,0.066,0.150,3,120,2
1784771409880,2026-07-23T01:50:09.880Z,-23.6052676,-46.8362058,831.275,0.168,0.120,3,120,2
1784771409935,2026-07-23T01:50:09.935Z,-23.6052674,-46.8362059,831.266,0.215,0.190,3,120,3
1784771409987,2026-07-23T01:50:09.987Z,-23.6052673,-46.8362060,831.257,0.256,0.230,3,120,3
1784771410039,2026-07-23T01:50:10.039Z,-23.6052670,-46.8362060,831.264,0.334,0.270,3,120,3
1784771410091,2026-07-23T01:50:10.091Z,-23.6052668,-46.8362062,831.273,0.366,0.340,3,120,3
1784771410143,2026-07-23T01:50:10.143Z,-23.6052667,-46.8362062,831.275,0.332,0.370,3,120,3
1784771410195,2026-07-23T01:50:10.195Z,-23.6052666,-46.8362063,831.283,0.286,0.340,3,120,3
1784771410247,2026-07-23T01:50:10.247Z,-23.6052665,-46.8362063,831.289,0.257,0.300,3,120,3
1784771410299,2026-07-23T01:50:10.299Z,-23.6052663,-46.8362062,831.278,0.280,0.270,3,120,3
1784771410351,2026-07-23T01:50:10.351Z,-23.6052662,-46.8362062,831.265,0.268,0.290,3,120,3
1784771410403,2026-07-23T01:50:10.403Z,-23.6052661,-46.8362064,831.284,0.231,0.270,3,120,3
1784771410456,2026-07-23T01:50:10.456Z,-23.6052661,-46.8362066,831.289,0.232,0.240,3,120,3
1784771410508,2026-07-23T01:50:10.508Z,-23.6052661,-46.8362065,831.304,0.114,0.240,3,120,3
1784771410560,2026-07-23T01:50:10.560Z,-23.6052662,-46.8362063,831.281,0.074,0.140,3,120,3
1784771410612,2026-07-23T01:50:10.612Z,-23.6052663,-46.8362062,831.270,0.123,0.090,3,120,3
1784771410664,2026-07-23T01:50:10.664Z,-23.6052662,-46.8362061,831.230,0.104,0.130,3,120,3
1784771410716,2026-07-23T01:50:10.716Z,-23.6052663,-46.8362061,831.236,0.129,0.110,3,120,3
1784771410768,2026-07-23T01:50:10.768Z,-23.6052664,-46.8362060,831.240,0.158,0.130,3,120,3
1784771410820,2026-07-23T01:50:10.820Z,-23.6052664,-46.8362062,831.238,0.101,0.160,3,120,3
1784771410872,2026-07-23T01:50:10.872Z,-23.6052663,-46.8362061,831.252,0.028,0.100,3,120,3
1784771410925,2026-07-23T01:50:10.925Z,-23.6052662,-46.8362062,831.254,0.069,0.040,3,120,4
1784771410983,2026-07-23T01:50:10.983Z,-23.6052661,-46.8362062,831.249,0.138,0.070,3,120,4
1784771411041,2026-07-23T01:50:11.041Z,-23.6052660,-46.8362063,831.266,0.199,0.140,3,120,4
1784771411099,2026-07-23T01:50:11.099Z,-23.6052660,-46.8362063,831.275,0.132,0.200,3,120,4
1784771411157,2026-07-23T01:50:11.157Z,-23.6052659,-46.8362063,831.269,0.100,0.140,3,120,4
1784771411216,2026-07-23T01:50:11.216Z,-23.6052659,-46.8362064,831.283,0.106,0.100,3,120,4
1784771411274,2026-07-23T01:50:11.274Z,-23.6052660,-46.8362064,831.277,0.065,0.110,3,120,4
1784771411332,2026-07-23T01:50:11.332Z,-23.6052660,-46.8362064,831.279,0.037,0.070,3,120,4
1784771411390,2026-07-23T01:50:11.390Z,-23.6052659,-46.8362063,831.307,0.088,0.040,3,120,4
1784771411449,2026-07-23T01:50:11.449Z,-23.6052660,-46.8362062,831.293,0.136,0.100,3,120,4
1784771411507,2026-07-23T01:50:11.507Z,-23.6052660,-46.8362062,831.280,0.031,0.140,3,120,4
1784771411565,2026-07-23T01:50:11.565Z,-23.6052659,-46.8362063,831.283,0.073,0.040,3,120,4
1784771411623,2026-07-23T01:50:11.623Z,-23.6052659,-46.8362062,831.283,0.019,0.080,3,120,4
1784771411682,2026-07-23T01:50:11.682Z,-23.6052659,-46.8362062,831.291,0.047,0.030,3,120,4
1784771411740,2026-07-23T01:50:11.740Z,-23.6052658,-46.8362063,831.313,0.087,0.050,3,120,4
1784771411798,2026-07-23T01:50:11.798Z,-23.6052656,-46.8362064,831.311,0.148,0.090,3,120,4
1784771411856,2026-07-23T01:50:11.856Z,-23.6052656,-46.8362063,831.311,0.143,0.150,3,120,4
1784771411915,2026-07-23T01:50:11.915Z,-23.6052655,-46.8362062,831.318,0.126,0.140,3,120,5
1784771411976,2026-07-23T01:50:11.976Z,-23.6052655,-46.8362063,831.323,0.061,0.130,3,120,5
1784771412038,2026-07-23T01:50:12.038Z,-23.6052655,-46.8362064,831.351,0.034,0.070,3,120,5
1784771412100,2026-07-23T01:50:12.100Z,-23.6052655,-46.8362063,831.362,0.073,0.050,3,120,5
1784771412162,2026-07-23T01:50:12.162Z,-23.6052655,-46.8362063,831.376,0.088,0.090,3,120,5
1784771412224,2026-07-23T01:50:12.224Z,-23.6052655,-46.8362063,831.367,0.057,0.100,3,120,5
1784771412286,2026-07-23T01:50:12.286Z,-23.6052654,-46.8362062,831.364,0.086,0.070,3,120,5
1784771412348,2026-07-23T01:50:12.348Z,-23.6052654,-46.8362060,831.374,0.167,0.090,3,120,5
