epoch,utc,lat,lng,alt_m,speed2d_ms,speed3d_ms,fix,dop,payload
1784771941167,2026-07-23T01:59:01.167Z,-23.6058347,-46.8363558,826.023,16.057,16.050,3,132,2
1784771941225,2026-07-23T01:59:01.225Z,-23.6058348,-46.8363644,825.960,16.053,16.080,3,132,2
1784771941283,2026-07-23T01:59:01.283Z,-23.6058352,-46.8363732,825.939,16.126,16.080,3,132,2
1784771941341,2026-07-23T01:59:01.341Z,-23.6058356,-46.8363819,825.836,16.193,16.150,3,132,2
1784771941400,2026-07-23T01:59:01.400Z,-23.6058361,-46.8363906,825.784,16.221,16.220,3,132,3
1784771941449,2026-07-23T01:59:01.449Z,-23.6058368,-46.8363994,825.713,16.320,16.250,3,132,3
1784771941498,2026-07-23T01:59:01.498Z,-23.6058377,-46.8364082,825.626,16.406,16.350,3,132,3
1784771941547,2026-07-23T01:59:01.547Z,-23.6058389,-46.8364168,825.456,16.539,16.430,3,132,3
1784771941596,2026-07-23T01:59:01.596Z,-23.6058404,-46.8364256,825.301,16.699,16.570,3,132,3
1784771941646,2026-07-23T01:59:01.646Z,-23.6058424,-46.8364344,825.159,16.847,16.730,3,132,3
1784771941695,2026-07-23T01:59:01.695Z,-23.6058445,-46.8364434,825.051,17.014,16.880,3,132,3
1784771941744,2026-07-23T01:59:01.744Z,-23.6058465,-46.8364522,824.997,16.936,17.050,3,132,3
1784771941793,2026-07-23T01:59:01.793Z,-23.6058487,-46.8364605,824.814,16.858,16.970,3,132,3
1784771941842,2026-07-23T01:59:01.842Z,-23.6058513,-46.8364689,824.664,16.835,16.900,3,132,3
1784771941892,2026-07-23T01:59:01.892Z,-23.6058543,-46.8364774,824.548,16.947,16.880,3,132,3
1784771941941,2026-07-23T01:59:01.941Z,-23.6058574,-46.8364861,824.482,17.095,16.990,3,132,3
1784771941990,2026-07-23T01:59:01.990Z,-23.6058605,-46.8364945,824.455,16.939,17.140,3,132,3
1784771942039,2026-07-23T01:59:02.039Z,-23.6058638,-46.8365025,824.324,16.798,16.980,3,132,3
1784771942088,2026-07-23T01:59:02.088Z,-23.6058679,-46.8365107,824.243,17.009,16.840,3,132,3
1784771942138,2026-07-23T01:59:02.138Z,-23.6058721,-46.8365191,824.245,17.194,17.050,3,132,3
1784771942187,2026-07-23T01:59:02.187Z,-23.6058763,-46.8365272,824.169,17.257,17.230,3,132,3
1784771942236,2026-07-23T01:59:02.236Z,-23.6058809,-46.8365354,824.116,17.460,17.300,3,132,3
1784771942285,2026-07-23T01:59:02.285Z,-23.6058854,-46.8365435,824.059,17.492,17.500,3,132,3
1784771942335,2026-07-23T01:59:02.335Z,-23.6058898,-46.8365514,823.940,17.465,17.530,3,127,4
1784771942393,2026-07-23T01:59:02.393Z,-23.6058941,-46.8365595,823.812,17.594,17.510,3,127,4
1784771942451,2026-07-23T01:59:02.451Z,-23.6058982,-46.8365678,823.739,17.610,17.640,3,127,4
1784771942509,2026-07-23T01:59:02.509Z,-23.6059023,-46.8365760,823.624,17.603,17.650,3,127,4
1784771942567,2026-07-23T01:59:02.567Z,-23.6059064,-46.8365842,823.510,17.640,17.650,3,127,4
1784771942625,2026-07-23T01:59:02.625Z,-23.6059104,-46.8365928,823.400,17.804,17.680,3,127,4
1784771942683,2026-07-23T01:59:02.683Z,-23.6059143,-46.8366013,823.272,17.841,17.850,3,127,4
1784771942741,2026-07-23T01:59:02.741Z,-23.6059181,-46.8366101,823.197,17.923,17.890,3,127,4
1784771942799,2026-07-23T01:59:02.799Z,-23.6059217,-46.8366190,823.171,17.890,17.970,3,127,4
1784771942857,2026-07-23T01:59:02.857Z,-23.6059250,-46.8366278,823.091,17.841,17.930,3,127,4
1784771942915,2026-07-23T01:59:02.915Z,-23.6059280,-46.8366368,822.956,17.908,17.890,3,127,4
1784771942973,2026-07-23T01:59:02.973Z,-23.6059304,-46.8366463,822.842,17.999,17.950,3,127,4
1784771943031,2026-07-23T01:59:03.031Z,-23.6059327,-46.8366557,822.675,18.151,18.050,3,127,4
1784771943089,2026-07-23T01:59:03.089Z,-23.6059350,-46.8366653,822.613,18.216,18.200,3,127,4
1784771943147,2026-07-23T01:59:03.147Z,-23.6059372,-46.8366748,822.560,18.119,18.270,3,127,4
1784771943205,2026-07-23T01:59:03.205Z,-23.6059390,-46.8366843,822.397,18.182,18.170,3,127,4
1784771943263,2026-07-23T01:59:03.263Z,-23.6059403,-46.8366938,822.198,18.173,18.230,3,127,4
1784771943321,2026-07-23T01:59:03.321Z,-23.6059413,-46.8367033,822.064,18.081,18.230,3,127,4
1784771943380,2026-07-23T01:59:03.380Z,-23.6059421,-46.8367129,821.961,18.018,18.140,3,136,5
1784771943435,2026-07-23T01:59:03.435Z,-23.6059430,-46.8367225,821.859,17.975,18.080,3,136,5
1784771943490,2026-07-23T01:59:03.490Z,-23.6059436,-46.8367324,821.691,18.238,18.040,3,136,5
1784771943545,2026-07-23T01:59:03.545Z,-23.6059439,-46.8367425,821.606,18.325,18.300,3,136,5
1784771943600,2026-07-23T01:59:03.600Z,-23.6059439,-46.8367520,821.497,18.102,18.390,3,136,5
1784771943655,2026-07-23T01:59:03.655Z,-23.6059434,-46.8367618,821.349,18.133,18.170,3,136,5
1784771943710,2026-07-23T01:59:03.710Z,-23.6059427,-46.8367720,821.229,18.350,18.200,3,136,5
1784771943765,2026-07-23T01:59:03.765Z,-23.6059421,-46.8367816,821.066,18.273,18.420,3,136,5
1784771943820,2026-07-23T01:59:03.820Z,-23.6059408,-46.8367915,820.911,18.348,18.350,3,136,5
1784771943875,2026-07-23T01:59:03.875Z,-23.6059392,-46.8368013,820.738,18.417,18.430,3,136,5
1784771943930,2026-07-23T01:59:03.930Z,-23.6059373,-46.8368109,820.592,18.402,18.500,3,136,5
1784771943985,2026-07-23T01:59:03.985Z,-23.6059350,-46.8368206,820.514,18.396,18.490,3,136,5
1784771944040,2026-07-23T01:59:04.040Z,-23.6059325,-46.8368303,820.400,18.478,18.480,3,136,5
1784771944095,2026-07-23T01:59:04.095Z,-23.6059301,-46.8368398,820.308,18.431,18.560,3,136,5
1784771944150,2026-07-23T01:59:04.150Z,-23.6059275,-46.8368494,820.252,18.412,18.510,3,136,5
1784771944205,2026-07-23T01:59:04.205Z,-23.6059247,-46.8368589,820.203,18.404,18.490,3,136,5
1784771944260,2026-07-23T01:59:04.260Z,-23.6059214,-46.8368687,820.177,18.566,18.480,3,136,5
1784771944315,2026-07-23T01:59:04.315Z,-23.6059181,-46.8368779,820.076,18.473,18.640,3,136,5
1784771944370,2026-07-23T01:59:04.370Z,-23.6059143,-46.8368872,819.940,18.615,18.550,3,136,6
1784771944419,2026-07-23T01:59:04.419Z,-23.6059101,-46.8368963,819.828,18.717,18.690,3,136,6
1784771944469,2026-07-23T01:59:04.469Z,-23.6059056,-46.8369051,819.722,18.680,18.800,3,136,6
1784771944518,2026-07-23T01:59:04.518Z,-23.6059006,-46.8369137,819.612,18.735,18.760,3,136,6
1784771944568,2026-07-23T01:59:04.568Z,-23.6058955,-46.8369221,819.533,18.702,18.820,3,136,6
1784771944617,2026-07-23T01:59:04.617Z,-23.6058901,-46.8369305,819.437,18.812,18.780,3,136,6
1784771944667,2026-07-23T01:59:04.667Z,-23.6058845,-46.8369384,819.439,18.689,18.890,3,136,6
1784771944716,2026-07-23T01:59:04.716Z,-23.6058780,-46.8369460,819.508,18.737,18.770,3,136,6
1784771944766,2026-07-23T01:59:04.766Z,-23.6058715,-46.8369537,819.608,18.790,18.810,3,136,6
1784771944815,2026-07-23T01:59:04.815Z,-23.6058651,-46.8369609,819.652,18.616,18.850,3,136,6
1784771944865,2026-07-23T01:59:04.865Z,-23.6058585,-46.8369677,819.660,18.498,18.680,3,136,6
1784771944914,2026-07-23T01:59:04.914Z,-23.6058515,-46.8369745,819.617,18.619,18.560,3,136,6
1784771944964,2026-07-23T01:59:04.964Z,-23.6058448,-46.8369814,819.654,18.594,18.670,3,136,6
1784771945013,2026-07-23T01:59:05.013Z,-23.6058380,-46.8369883,819.736,18.530,18.650,3,136,6
1784771945063,2026-07-23T01:59:05.063Z,-23.6058308,-46.8369952,819.777,18.683,18.580,3,136,6
1784771945112,2026-07-23T01:59:05.112Z,-23.6058237,-46.8370020,819.807,18.771,18.730,3,136,6
1784771945162,2026-07-23T01:59:05.162Z,-23.6058162,-46.8370086,819.814,18.950,18.810,3,136,6
1784771945211,2026-07-23T01:59:05.211Z,-23.6058086,-46.8370146,819.851,18.900,18.990,3,136,6
1784771945261,2026-07-23T01:59:05.261Z,-23.6058008,-46.8370201,819.848,18.745,18.930,3,136,6
1784771945310,2026-07-23T01:59:05.310Z,-23.6057927,-46.8370254,819.858,18.766,18.780,3,136,6
1784771945360,2026-07-23T01:59:05.360Z,-23.6057847,-46.8370306,819.871,18.755,18.800,3,136,7
1784771945425,2026-07-23T01:59:05.425Z,-23.6057692,-46.8370417,819.774,18.671,18.780,3,136,7
1784771945490,2026-07-23T01:59:05.490Z,-23.6057614,-46.8370470,819.739,18.614,18.700,3,136,7
1784771945555,2026-07-23T01:59:05.555Z,-23.6057536,-46.8370518,819.766,18.361,18.640,3,136,7
1784771945621,2026-07-23T01:59:05.621Z,-23.6057457,-46.8370566,819.816,18.241,18.390,3,136,7
1784771945686,2026-07-23T01:59:05.686Z,-23.6057377,-46.8370612,819.855,18.198,18.260,3,136,7
1784771945751,2026-07-23T01:59:05.751Z,-23.6057297,-46.8370657,819.890,18.118,18.220,3,136,7
1784771945817,2026-07-23T01:59:05.817Z,-23.6057216,-46.8370702,819.883,18.166,18.140,3,136,7
1784771945882,2026-07-23T01:59:05.882Z,-23.6057135,-46.8370745,819.864,18.165,18.180,3,136,7
1784771945947,2026-07-23T01:59:05.947Z,-23.6057056,-46.8370791,819.910,18.087,18.180,3,136,7
1784771946013,2026-07-23T01:59:06.013Z,-23.6056979,-46.8370836,819.947,17.873,18.100,3,136,7
1784771946078,2026-07-23T01:59:06.078Z,-23.6056900,-46.8370880,820.013,17.791,17.890,3,136,7
1784771946143,2026-07-23T01:59:06.143Z,-23.6056820,-46.8370919,820.022,17.750,17.800,3,136,7
1784771946209,2026-07-23T01:59:06.209Z,-23.6056738,-46.8370956,820.073,17.700,17.760,3,136,7
1784771946274,2026-07-23T01:59:06.274Z,-23.6056657,-46.8370990,820.085,17.598,17.710,3,136,7
1784771946339,2026-07-23T01:59:06.339Z,-23.6056577,-46.8371025,820.169,17.451,17.610,3,136,7
