epoch,speed,totalGForce,gForceX,gForceY,steering_angle,sats,lat,lng
1785630908800,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630909100,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630909500,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630909800,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630910000,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630910300,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630910500,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630910500,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630910800,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630911100,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630911300,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630911600,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630911900,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630912100,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630912400,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630912600,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630912900,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630913200,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630913500,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630913700,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630913900,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630914100,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630914300,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630914400,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630914600,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836182
1785630914800,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630914800,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
